"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"Premise: This church choir sings to the masses as they sing joyous songs from the book at a church.<SPLIT>Hypothesis: The church has cracks in the ceiling.","Premise: This church choir sings to the masses as they sing joyous songs from the book at a church.<SPLIT>Hypothesis: The church has cracks in the ceiling.",0.6135543584823608,0.6135543584823608,0.0,0.0,2.0,1.0,"Skipped"
"Premise: This church choir sings to the masses as they sing joyous songs from the book at a church.<SPLIT>Hypothesis: The church is filled with song.","Premise: This church choir sings to the masses as they sing joyous songs from the book at a church.<SPLIT>Hypothesis: The church is filled with chanson.",0.031149625778198242,0.9973494410514832,1.0,2.0,1.0,2.0,"Successful"
"Premise: This church choir sings to the masses as they sing joyous songs from the book at a church.<SPLIT>Hypothesis: A choir singing at a baseball game.","Premise: This church choir sings to the masses as they sing joyous songs from the book at a church.<SPLIT>Hypothesis: A chorus chant at a baseball game.",0.0009174346923828125,0.003710627555847168,0.0,0.0,0.0,11.0,"Failed"
"Premise: A woman with a green headscarf, blue shirt and a very big grin.<SPLIT>Hypothesis: The woman is young.","Premise: A woman with a green headscarf, blue shirt and a very big grin.<SPLIT>Hypothesis: The girls is youngster.",0.006745755672454834,0.8553650975227356,2.0,1.0,2.0,12.0,"Successful"
"Premise: A woman with a green headscarf, blue shirt and a very big grin.<SPLIT>Hypothesis: The woman is very happy.","Premise: A woman with a green headscarf, blue shirt and a very big grin.<SPLIT>Hypothesis: The woman is very happy.",0.5272164940834045,0.5272164940834045,2.0,2.0,1.0,1.0,"Skipped"
"Premise: A woman with a green headscarf, blue shirt and a very big grin.<SPLIT>Hypothesis: The woman has been shot.","Premise: A woman with a green headscarf, blue shirt and a very big grin.<SPLIT>Hypothesis: The dame has been shot.",0.0802299976348877,0.17269009351730347,0.0,0.0,0.0,10.0,"Failed"
"Premise: An old man with a package poses in front of an advertisement.<SPLIT>Hypothesis: A man poses in front of an ad.","Premise: An old man with a package poses in front of an advertisement.<SPLIT>Hypothesis: A mec brings in front of an advertisements.",0.013956904411315918,0.7105404138565063,1.0,0.0,1.0,17.0,"Successful"
"Premise: An old man with a package poses in front of an advertisement.<SPLIT>Hypothesis: A man poses in front of an ad for beer.","Premise: An old man with a package poses in front of an advertisement.<SPLIT>Hypothesis: A men brings in newsweek of an advertisements for beer.",0.001810610294342041,0.022253751754760742,2.0,2.0,2.0,15.0,"Failed"
"Premise: An old man with a package poses in front of an advertisement.<SPLIT>Hypothesis: A man walks by an ad.","Premise: An old man with a package poses in front of an advertisement.<SPLIT>Hypothesis: A dude strolls by an announcement.",0.35420000553131104,0.7232860326766968,0.0,2.0,0.0,14.0,"Successful"
"Premise: A statue at a museum that no seems to be looking at.<SPLIT>Hypothesis: The statue is offensive and people are mad that it is on display.","Premise: A statue at a museum that no seems to be looking at.<SPLIT>Hypothesis: The statue is abusive and people are mad that it is on display.",0.09308856725692749,0.681573748588562,2.0,0.0,2.0,6.0,"Successful"
