,text,score,output,ground_truth_output,Attacked
0,[[[[Premise]]]]: This church choir sings to the masses as they sing joyous songs from the book at a church.<SPLIT>[[[[Hypothesis]]]]: The church is filled with [[song]].,0.0744387507438659,0.0,0.0,0
1,[[[[Premise]]]]: This church choir sings to the masses as they sing joyous songs from the book at a church.<SPLIT>[[[[Hypothesis]]]]: [[A]] [[choir]] [[singing]] at a [[baseball]] game.,0.0069467425346374,2.0,2.0,0
2,"[[[[Premise]]]]: A woman with a green headscarf, blue shirt and a very big grin.<SPLIT>[[[[Hypothesis]]]]: The woman is [[young]].",0.041418969631195,1.0,1.0,0
3,"[[[[Premise]]]]: A woman with a green headscarf, blue shirt and a very big grin.<SPLIT>[[[[Hypothesis]]]]: The [[woman]] is very happy.",0.4409109950065613,0.0,0.0,0
4,[[[[Premise]]]]: An old man with a package poses in front of an advertisement.<SPLIT>[[[[Hypothesis]]]]: A man poses in [[front]] of an [[ad]].,0.0188676714897155,0.0,0.0,0
5,[[[[Premise]]]]: An old man with a package poses in front of an advertisement.<SPLIT>[[[[Hypothesis]]]]: A man [[poses]] in front of an [[ad]] for [[beer]].,0.0139639377593994,1.0,1.0,0
6,[[[[Premise]]]]: An old man with a package poses in front of an advertisement.<SPLIT>[[[[Hypothesis]]]]: A man [[walks]] by an ad.,0.2977007627487182,2.0,2.0,0
7,[[[[Premise]]]]: A statue at a museum that no seems to be looking at.<SPLIT>[[[[Hypothesis]]]]: The statue is offensive and people are mad that it is on [[display]].,0.4257894158363342,1.0,1.0,0
8,[[[[Premise]]]]: A statue at a museum that no seems to be looking at.<SPLIT>[[[[Hypothesis]]]]: There is a statue that not many [[people]] [[seem]] to be interested in.,0.3885364532470703,0.0,0.0,0
9,[[[[Premise]]]]: A land rover is being driven across a river.<SPLIT>[[[[Hypothesis]]]]: A vehicle is crossing a [[river]].,0.0215421319007873,0.0,0.0,0
