"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"lovingly photographed in the manner of a golden book sprung to life , stuart little 2 manages sweetness largely [[without]] stickiness .","lovingly photographed in the manner of a golden book sprung to life , stuart little 2 manages sweetness largely [[Ġbreeds]] stickiness .",0.0016075968742370605,0.9992263913154602,1.0,0.0,1.0,1685.0,"Successful"
"consistently [[clever]] and suspenseful .","consistently [[Ġrewarding]] and suspenseful .",0.000847935676574707,0.9452939629554749,1.0,0.0,1.0,201.0,"Successful"
"it's like a "" big chill "" reunion of the baader-meinhof gang , only these guys are more harmless pranksters than political activists .","it's like a "" big chill "" reunion of the baader-meinhof gang , only these guys are more harmless pranksters than political activists .",0.8357130289077759,0.8357130289077759,0.0,0.0,1.0,1.0,"Skipped"
"the story [[gives]] ample opportunity for large-scale action and suspense , which director shekhar kapur supplies with tremendous skill .","the story [[Ġincludes]] ample opportunity for large-scale action and suspense , which director shekhar kapur supplies with tremendous skill .",0.001867830753326416,0.7677006721496582,1.0,0.0,1.0,1557.0,"Successful"
"red dragon "" never cuts corners .","red dragon "" never cuts corners .",0.9904546737670898,0.9904546737670898,0.0,0.0,1.0,1.0,"Skipped"
"fresnadillo has something serious to say about the ways in which extravagant chance can distort our perspective and throw us off the path of good sense .","fresnadillo has something serious to say about the ways in which extravagant chance can distort our perspective and throw us off the path of good sense .",0.9546940922737122,0.9546940922737122,0.0,0.0,1.0,1.0,"Skipped"
"throws in [[enough]] [[clever]] and unexpected twists to make the formula feel fresh .","throws [[Ġeffortlessly]] in [[Ġsurprising]] and unexpected twists to make the formula feel fresh .",0.0009319186210632324,0.9995084404945374,1.0,0.0,1.0,1897.0,"Successful"
"weighty and ponderous but every bit as filling as the treat of the title .","weighty and ponderous but every bit as filling as the treat of the title .",0.9482885599136353,0.9482885599136353,0.0,0.0,1.0,1.0,"Skipped"
"a real [[audience-pleaser]] that will strike a chord with anyone who's [[ever]] [[waited]] in a doctor's office , emergency room , hospital bed or insurance company office .","a real [[Ġpossibility]] that will strike a chord with anyone who's [[Ġstuck]] in a doctor's office , emergency room , hospital bed or insurance company office .",0.002129077911376953,0.9971500039100647,1.0,0.0,1.0,3559.0,"Successful"
"generates an enormous feeling of [[empathy]] for its characters .","generates an enormous feeling of [[Ġlonging]] for its characters .",0.00045043230056762695,0.9890184998512268,1.0,0.0,1.0,554.0,"Successful"
"exposing the ways we fool ourselves is one hour photo's real strength .","exposing the ways we fool ourselves is [[Ġone]] one hour photo's real strength .",0.0004437565803527832,0.9675275087356567,1.0,0.0,1.0,885.0,"Successful"
"it's up to you to decide whether to admire these people's dedication to their cause or be repelled by their dogmatism , manipulativeness and narrow , [[fearful]] [[view]] of american life .","it's up to you to decide whether to admire these people's dedication to their cause or be repelled by their dogmatism , manipulativeness and narrow , [[Ġtypical]] of american life .",0.043951451778411865,0.9898470640182495,1.0,0.0,1.0,2159.0,"Successful"
