"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"lovingly photographed in the manner of a golden book sprung to life , stuart little 2 manages sweetness largely without stickiness .","lovingly photographed in the manner of a golden book sprung to life , stuart little 2 runs sweetness mainly without stickiness .",0.0016077160835266113,0.750395655632019,1.0,0.0,1.0,19.0,"Successful"
"consistently clever and suspenseful .","perpetually clever and suspenseful .",0.000847935676574707,0.0012871026992797852,1.0,1.0,1.0,16.0,"Failed"
"it's like a "" big chill "" reunion of the baader-meinhof gang , only these guys are more harmless pranksters than political activists .","it's like a "" big chill "" reunion of the baader-meinhof gang , only these guys are more harmless pranksters than political activists .",0.835713267326355,0.835713267326355,0.0,0.0,1.0,1.0,"Skipped"
"the story gives ample opportunity for large-scale action and suspense , which director shekhar kapur supplies with tremendous skill .","the story gives plentiful luck for large-scale action and suspense , which director shekhar kapur supplies with prodigious aptitude .",0.001867830753326416,0.004694044589996338,1.0,1.0,1.0,38.0,"Failed"
"red dragon "" never cuts corners .","red dragon "" never cuts corners .",0.9904545545578003,0.9904545545578003,0.0,0.0,1.0,1.0,"Skipped"
"fresnadillo has something serious to say about the ways in which extravagant chance can distort our perspective and throw us off the path of good sense .","fresnadillo has something serious to say about the ways in which extravagant chance can distort our perspective and throw us off the path of good sense .",0.9546939730644226,0.9546939730644226,0.0,0.0,1.0,1.0,"Skipped"
"throws in enough clever and unexpected twists to make the formula feel fresh .","sheds in enough smarts and unexpected twists to make the formula feel fresh .",0.0009319186210632324,0.6548072099685669,1.0,0.0,1.0,10.0,"Successful"
"weighty and ponderous but every bit as filling as the treat of the title .","weighty and ponderous but every bit as filling as the treat of the title .",0.9482887983322144,0.9482887983322144,0.0,0.0,1.0,1.0,"Skipped"
"a real audience-pleaser that will strike a chord with anyone who's ever waited in a doctor's office , emergency room , hospital bed or insurance company office .","a genuine audience-pleaser that will strike a chord with anybody who's ever expected in a doctor's office , emergency room , hospital bed or security company office .",0.002129077911376953,0.003895401954650879,1.0,1.0,1.0,24.0,"Failed"
"generates an enormous feeling of empathy for its characters .","generates an gigantic feeling of sympathies for its characters .",0.00045043230056762695,0.004328608512878418,1.0,1.0,1.0,17.0,"Failed"
"exposing the ways we fool ourselves is one hour photo's real strength .","exposing the manner we fool ourselves is one hour photo's genuine vigour .",0.0004437565803527832,0.00069427490234375,1.0,1.0,1.0,10.0,"Failed"
