"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"[[[[Premise]]]]: This church choir sings to the masses as they sing joyous songs from the book at a church.<SPLIT>[[[[Hypothesis]]]]: The church has cracks in the ceiling.","[[[[Premise]]]]: This church choir sings to the masses as they sing joyous songs from the book at a church.<SPLIT>[[[[Hypothesis]]]]: The church has cracks in the ceiling.",0.6135544776916504,0.6135544776916504,0.0,0.0,2.0,1.0,"Skipped"
"[[[[Premise]]]]: This church choir sings to the masses as they sing joyous songs from the book at a church.<SPLIT>[[[[Hypothesis]]]]: The [[church]] is filled with song.","[[[[Premise]]]]: This church choir sings to the masses as they sing joyous songs from the book at a church.<SPLIT>[[[[Hypothesis]]]]: The [[archdiocese]] is filled with song.",0.031149625778198242,0.9775280356407166,1.0,2.0,1.0,43.0,"Successful"
"[[[[Premise]]]]: This church choir sings to the masses as they sing joyous songs from the book at a church.<SPLIT>[[[[Hypothesis]]]]: A [[choir]] [[singing]] at a [[baseball]] game.","[[[[Premise]]]]: This church choir sings to the masses as they sing joyous songs from the book at a church.<SPLIT>[[[[Hypothesis]]]]: A [[jubilation]] [[sing]] at a [[mitt]] game.",0.0009174346923828125,0.6929818391799927,0.0,2.0,0.0,129.0,"Successful"
"[[[[Premise]]]]: A woman with a green headscarf, blue shirt and a very big grin.<SPLIT>[[[[Hypothesis]]]]: The woman is [[young]].","[[[[Premise]]]]: A woman with a green headscarf, blue shirt and a very big grin.<SPLIT>[[[[Hypothesis]]]]: The woman is [[youthfulness]].",0.006745755672454834,0.783973217010498,2.0,1.0,2.0,43.0,"Successful"
"[[[[Premise]]]]: A woman with a green headscarf, blue shirt and a very big grin.<SPLIT>[[[[Hypothesis]]]]: The woman is very happy.","[[[[Premise]]]]: A woman with a green headscarf, blue shirt and a very big grin.<SPLIT>[[[[Hypothesis]]]]: The woman is very happy.",0.5272164940834045,0.5272164940834045,2.0,2.0,1.0,1.0,"Skipped"
"[[[[Premise]]]]: A woman with a green headscarf, blue shirt and a very big grin.<SPLIT>[[[[Hypothesis]]]]: The woman has been [[shot]].","[[[[Premise]]]]: A woman with a green headscarf, blue shirt and a very big grin.<SPLIT>[[[[Hypothesis]]]]: The woman has been [[gunned]].",0.08023029565811157,0.9226377606391907,0.0,2.0,0.0,61.0,"Successful"
"[[[[Premise]]]]: An old man with a package poses in front of an advertisement.<SPLIT>[[[[Hypothesis]]]]: A man poses in front of an [[ad]].","[[[[Premise]]]]: An old man with a package poses in front of an advertisement.<SPLIT>[[[[Hypothesis]]]]: A man poses in front of an [[heralding]].",0.013956904411315918,0.9811130166053772,1.0,2.0,1.0,41.0,"Successful"
"[[[[Premise]]]]: An old man with a package poses in front of an advertisement.<SPLIT>[[[[Hypothesis]]]]: A man poses in front of an [[ad]] for [[beer]].","[[[[Premise]]]]: An old man with a package poses in front of an advertisement.<SPLIT>[[[[Hypothesis]]]]: A man poses in front of an [[pubs]] for [[pints]].",0.001810610294342041,0.8611483573913574,2.0,0.0,2.0,65.0,"Successful"
"[[[[Premise]]]]: An old man with a package poses in front of an advertisement.<SPLIT>[[[[Hypothesis]]]]: A man [[walks]] by an ad.","[[[[Premise]]]]: An old man with a package poses in front of an advertisement.<SPLIT>[[[[Hypothesis]]]]: A man [[marche]] by an ad.",0.35419994592666626,0.9896361231803894,0.0,1.0,0.0,32.0,"Successful"
"[[[[Premise]]]]: A statue at a museum that no seems to be looking at.<SPLIT>[[[[Hypothesis]]]]: The [[statue]] is offensive and people are mad that it is on [[display]].","[[[[Premise]]]]: A statue at a museum that no seems to be looking at.<SPLIT>[[[[Hypothesis]]]]: The [[statuettes]] is offensive and people are mad that it is on [[demonstrate]].",0.09308874607086182,0.6828399896621704,2.0,0.0,2.0,78.0,"Successful"
"[[[[Premise]]]]: A statue at a museum that no seems to be looking at.<SPLIT>[[[[Hypothesis]]]]: There is a statue that not [[many]] [[people]] [[seem]] to be interested in.","[[[[Premise]]]]: A statue at a museum that no seems to be looking at.<SPLIT>[[[[Hypothesis]]]]: There is a statue that not [[big]] [[residents]] [[gaze]] to be interested in.",0.022169113159179688,0.5111786127090454,1.0,2.0,1.0,109.0,"Successful"
"[[[[Premise]]]]: A statue at a museum that no seems to be looking at.<SPLIT>[[[[Hypothesis]]]]: Tons of [[people]] are gathered around the statue.","[[[[Premise]]]]: A statue at a museum that no seems to be looking at.<SPLIT>[[[[Hypothesis]]]]: Tons of [[folks]] are gathered around the statue.",0.38074469566345215,0.6007789373397827,0.0,2.0,0.0,52.0,"Successful"
"[[[[Premise]]]]: A land rover is being driven across a river.<SPLIT>[[[[Hypothesis]]]]: A Land Rover is splashing water as it crosses a river.","[[[[Premise]]]]: A land rover is being driven across a river.<SPLIT>[[[[Hypothesis]]]]: A Land Rover is splashing water as it crosses a river.",0.9964773058891296,0.9964773058891296,2.0,2.0,1.0,1.0,"Skipped"
"[[[[Premise]]]]: A land rover is being driven across a river.<SPLIT>[[[[Hypothesis]]]]: A vehicle is [[crossing]] a river.","[[[[Premise]]]]: A land rover is being driven across a river.<SPLIT>[[[[Hypothesis]]]]: A vehicle is [[junction]] a river.",0.015675902366638184,0.8228782415390015,1.0,2.0,1.0,39.0,"Successful"
"[[[[Premise]]]]: A land rover is being driven across a river.<SPLIT>[[[[Hypothesis]]]]: A [[sedan]] is [[stuck]] in the middle of a river.","[[[[Premise]]]]: A land rover is being driven across a river.<SPLIT>[[[[Hypothesis]]]]: A [[roadster]] is [[clogged]] in the middle of a river.",0.005021870136260986,0.5251975059509277,0.0,2.0,0.0,37.0,"Successful"
