"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"lovingly photographed in the manner of a golden book sprung to life , stuart little 2 [[manages]] sweetness largely without stickiness .","lovingly photographed in the manner of a golden book sprung to life , stuart little 2 [[administration]] sweetness largely without stickiness .",0.0016075968742370605,0.6034321784973145,1.0,0.0,1.0,42.0,"Successful"
"[[consistently]] [[clever]] and [[suspenseful]] .","[[ceaselessly]] [[cleverer]] and [[enigmatic]] .",0.000847935676574707,0.9928855299949646,1.0,0.0,1.0,55.0,"Successful"
"it's like a "" big chill "" reunion of the baader-meinhof gang , only these guys are more harmless pranksters than political activists .","it's like a "" big chill "" reunion of the baader-meinhof gang , only these guys are more harmless pranksters than political activists .",0.8357130289077759,0.8357130289077759,0.0,0.0,1.0,1.0,"Skipped"
"the story [[gives]] ample [[opportunity]] for large-scale action and suspense , which director shekhar kapur supplies with [[tremendous]] [[skill]] .","the story [[poses]] ample [[hazard]] for large-scale action and suspense , which director shekhar kapur supplies with [[huge]] [[jurisdictional]] .",0.001867830753326416,0.9866936802864075,1.0,0.0,1.0,176.0,"Successful"
"red dragon "" never cuts corners .","red dragon "" never cuts corners .",0.9904546737670898,0.9904546737670898,0.0,0.0,1.0,1.0,"Skipped"
"fresnadillo has something serious to say about the ways in which extravagant chance can distort our perspective and throw us off the path of good sense .","fresnadillo has something serious to say about the ways in which extravagant chance can distort our perspective and throw us off the path of good sense .",0.9546940922737122,0.9546940922737122,0.0,0.0,1.0,1.0,"Skipped"
"throws in enough clever and [[unexpected]] [[twists]] to [[make]] the formula feel fresh .","throws in enough clever and [[casual]] [[folds]] to [[pose]] the formula feel fresh .",0.0009319186210632324,0.8910318613052368,1.0,0.0,1.0,102.0,"Successful"
"weighty and ponderous but every bit as filling as the treat of the title .","weighty and ponderous but every bit as filling as the treat of the title .",0.9482885599136353,0.9482885599136353,0.0,0.0,1.0,1.0,"Skipped"
"a [[real]] audience-pleaser that [[will]] strike a chord with anyone who's ever waited in a doctor's office , [[emergency]] [[room]] , [[hospital]] bed or [[insurance]] [[company]] [[office]] .","a [[actual]] audience-pleaser that [[desired]] strike a chord with anyone who's ever waited in a doctor's office , [[eventuality]] [[camera]] , [[committal]] bed or [[safer]] [[venture]] [[cabinet]] .",0.002129077911376953,0.9791761636734009,1.0,0.0,1.0,215.0,"Successful"
"[[generates]] an enormous [[feeling]] of empathy for its [[characters]] .","[[leeds]] an enormous [[foreboding]] of empathy for its [[specs]] .",0.00045043230056762695,0.7174851894378662,1.0,0.0,1.0,134.0,"Successful"
"[[exposing]] the ways we fool ourselves is one [[hour]] photo's real [[strength]] .","[[implying]] the ways we fool ourselves is one [[timing]] photo's real [[kraft]] .",0.0004437565803527832,0.9989098310470581,1.0,0.0,1.0,108.0,"Successful"
"it's up to you to decide whether to admire these people's dedication to their cause or be [[repelled]] by their dogmatism , manipulativeness and narrow , fearful view of american life .","it's up to you to decide whether to admire these people's dedication to their cause or be [[adjourn]] by their dogmatism , manipulativeness and narrow , fearful view of american life .",0.043951451778411865,0.633608341217041,1.0,0.0,1.0,59.0,"Successful"
"mostly , [goldbacher] just lets her complicated characters be [[unruly]] , confusing and , through it all , [[human]] .","mostly , [goldbacher] just lets her complicated characters be [[remiss]] , confusing and , through it all , [[humanistic]] .",0.0035721659660339355,0.5861761569976807,1.0,0.0,1.0,52.0,"Successful"
". . . quite [[good]] at providing some good old fashioned spooks .",". . . quite [[adequate]] at providing some good old fashioned spooks .",0.00656735897064209,0.9886547923088074,1.0,0.0,1.0,29.0,"Successful"
"at its worst , the movie is pretty diverting ; the pity is that it rarely achieves its best .","at its worst , the movie is pretty diverting ; the pity is that it rarely achieves its best .",0.9916623830795288,0.9916623830795288,0.0,0.0,1.0,1.0,"Skipped"
